A_ 1
BW 1
Bw 0
CF 1
CU 1
CV 0
C] 1
C^ 0
C~ 0
D?{ 1
DCw 1
DC{ 0
DEw 1
DEk 0
DE{ 0
DFw 1
DF{ 0
DQo 1
DQw 0
DQ{ 0
DUW 0
DUw 0
DU{ 0
DTw 0
DT{ 0
DV{ 0
D]w 0
D]{ 0
D^{ 0
D~{ 0
E?Bw 1
E?bo 1
E?bw 0
E?qo 1
E?ow 1
E?ro 1
E?qw 0
E?rw 0
E?zO 1
E?zo 1
E?zW 0
E?zw 0
E?~o 1
E?~w 0
ECR_ 1
ECRo 0
ECRw 0
ECr_ 1
ECpo 0
ECqg 0
ECro 0
ECrg 0
ECrw 0
ECZ? 1
ECZ_ 1
ECZO 0
ECZG 0
ECYW 0
ECZo 0
ECZg 0
ECZW 0
ECZw 0
ECfo 0
ECfw 0
ECxo 0
ECzo 0
ECzg 0
ECzW 0
ECxw 0
ECzw 0
ECvo 0
ECuw 0
ECvw 0
EC~o 0
EC~w 0
EEr_ 1
EEro 0
EErw 0
EEh_ 1
EEj_ 1
EEio 0
EEho 0
EEiW 0
EEhW 0
EEjo 0
EEjW 0
EEhw 0
EEjw 0
EEz_ 1
EEzO 0
EEzo 0
EEzg 0
EEzw 0
EEvo 0
EEuw 0
EEvw 0
EEno 0
EElw 0
EEnw 0
EE~w 0
EFz_ 1
EFzo 0
EFzW 0
EFzw 0
EF~w 0
EQj_ 0
EQjO 0
EQjo 0
EQjg 0
EQjw 0
EQzO 0
EQzo 0
EQzg 0
EQzW 0
EQyw 0
EQzw 0
EQ~o 0
EQ~w 0
EUZ_ 0
EUZO 0
EUZo 0
EUZw 0
EUxo 0
EUzo 0
EUzW 0
EUzw 0
EU~w 0
ETzo 0
ETzg 0
ETzw 0
ETno 0
ETnw 0
ET~w 0
EV~w 0
E]zo 0
E]zg 0
E]yw 0
E]zw 0
E]~o 0
E]~w 0
E^~w 0
E~~w 0
F??Fw 1
F?AFo 1
F?AFw 0
F?BDo 1
F?B@w 1
F?BFo 1
F?BDw 0
F?BFw 0
F?Bco 1
F?Beo 1
F?Bcw 0
F?Bfo 1
F?Bew 0
F?Bfw 0
F?BvO 1
F?Bvo 1
F?BvW 0
F?Bvw 0
F?B~o 1
F?B~w 0
F?`F_ 1
F?`Fo 0
F?`Fw 0
F?bB_ 1
F?bF_ 1
F?bDo 0
F?bBo 0
F?bDg 0
F?bFo 0
F?bFg 0
F?bFw 0
F?`e_ 1
F?`cg 1
